
TOP 5 CONFIGS (sorted by best_val_accuracy):
==================================================
{'drop_prob': 0.05, 'block_size': 3, 'weight_decay': 0.001, 'learning_rate': 0.01, 'momentum': 0.85, 'best_val_accuracy': 0.514, 'final_val_accuracy': 0.5129, 'mean_gap': 0.2817121428571428}
{'drop_prob': 0.15, 'block_size': 5, 'weight_decay': 0.001, 'learning_rate': 0.01, 'momentum': 0.85, 'best_val_accuracy': 0.5126, 'final_val_accuracy': 0.497, 'mean_gap': 0.11777386363636362}
{'drop_prob': 0.1, 'block_size': 5, 'weight_decay': 0.001, 'learning_rate': 0.01, 'momentum': 0.85, 'best_val_accuracy': 0.512, 'final_val_accuracy': 0.4732, 'mean_gap': 0.13237125}
{'drop_prob': 0.15, 'block_size': 3, 'weight_decay': 0.001, 'learning_rate': 0.01, 'momentum': 0.85, 'best_val_accuracy': 0.5118, 'final_val_accuracy': 0.5047, 'mean_gap': 0.12076578947368422}
{'drop_prob': 0.15, 'block_size': 3, 'weight_decay': 0.0005, 'learning_rate': 0.01, 'momentum': 0.85, 'best_val_accuracy': 0.5059, 'final_val_accuracy': 0.4993, 'mean_gap': 0.12175277777777777}

==================================================
ALL RESULTS (sorted by best_val_accuracy)
==================================================
{'drop_prob': 0.05, 'block_size': 3, 'weight_decay': 0.001, 'learning_rate': 0.01, 'momentum': 0.85, 'best_val_accuracy': 0.514, 'final_val_accuracy': 0.5129, 'mean_gap': 0.2817121428571428}
{'drop_prob': 0.15, 'block_size': 5, 'weight_decay': 0.001, 'learning_rate': 0.01, 'momentum': 0.85, 'best_val_accuracy': 0.5126, 'final_val_accuracy': 0.497, 'mean_gap': 0.11777386363636362}
{'drop_prob': 0.1, 'block_size': 5, 'weight_decay': 0.001, 'learning_rate': 0.01, 'momentum': 0.85, 'best_val_accuracy': 0.512, 'final_val_accuracy': 0.4732, 'mean_gap': 0.13237125}
{'drop_prob': 0.15, 'block_size': 3, 'weight_decay': 0.001, 'learning_rate': 0.01, 'momentum': 0.85, 'best_val_accuracy': 0.5118, 'final_val_accuracy': 0.5047, 'mean_gap': 0.12076578947368422}
{'drop_prob': 0.15, 'block_size': 3, 'weight_decay': 0.0005, 'learning_rate': 0.01, 'momentum': 0.85, 'best_val_accuracy': 0.5059, 'final_val_accuracy': 0.4993, 'mean_gap': 0.12175277777777777}
{'drop_prob': 0.15, 'block_size': 5, 'weight_decay': 0.0005, 'learning_rate': 0.01, 'momentum': 0.9, 'best_val_accuracy': 0.5031, 'final_val_accuracy': 0.4811, 'mean_gap': 0.12458815789473685}
{'drop_prob': 0.05, 'block_size': 3, 'weight_decay': 0.0001, 'learning_rate': 0.01, 'momentum': 0.85, 'best_val_accuracy': 0.5017, 'final_val_accuracy': 0.4843, 'mean_gap': 0.17969605263157892}
{'drop_prob': 0.15, 'block_size': 1, 'weight_decay': 0.001, 'learning_rate': 0.01, 'momentum': 0.85, 'best_val_accuracy': 0.5016, 'final_val_accuracy': 0.4951, 'mean_gap': 0.1544388888888889}
{'drop_prob': 0.05, 'block_size': 5, 'weight_decay': 0.0005, 'learning_rate': 0.01, 'momentum': 0.85, 'best_val_accuracy': 0.5006, 'final_val_accuracy': 0.4941, 'mean_gap': 0.13283055555555556}
{'drop_prob': 0.1, 'block_size': 1, 'weight_decay': 0.001, 'learning_rate': 0.01, 'momentum': 0.85, 'best_val_accuracy': 0.5005, 'final_val_accuracy': 0.4913, 'mean_gap': 0.21787065217391305}
{'drop_prob': 0.05, 'block_size': 5, 'weight_decay': 0.001, 'learning_rate': 0.01, 'momentum': 0.9, 'best_val_accuracy': 0.4996, 'final_val_accuracy': 0.4985, 'mean_gap': 0.19472976190476188}
{'drop_prob': 0.1, 'block_size': 3, 'weight_decay': 0.001, 'learning_rate': 0.01, 'momentum': 0.9, 'best_val_accuracy': 0.4995, 'final_val_accuracy': 0.4806, 'mean_gap': 0.12994375}
{'drop_prob': 0.05, 'block_size': 3, 'weight_decay': 0.0005, 'learning_rate': 0.01, 'momentum': 0.85, 'best_val_accuracy': 0.4988, 'final_val_accuracy': 0.4922, 'mean_gap': 0.15335416666666665}
{'drop_prob': 0.15, 'block_size': 3, 'weight_decay': 0.001, 'learning_rate': 0.01, 'momentum': 0.9, 'best_val_accuracy': 0.4983, 'final_val_accuracy': 0.4966, 'mean_gap': 0.10176500000000001}
{'drop_prob': 0.1, 'block_size': 5, 'weight_decay': 0.0005, 'learning_rate': 0.01, 'momentum': 0.85, 'best_val_accuracy': 0.4971, 'final_val_accuracy': 0.4616, 'mean_gap': 0.09876323529411765}
{'drop_prob': 0.15, 'block_size': 1, 'weight_decay': 0.0005, 'learning_rate': 0.01, 'momentum': 0.85, 'best_val_accuracy': 0.4965, 'final_val_accuracy': 0.4907, 'mean_gap': 0.15685882352941177}
